cet_score,jee_score,caste,annual_income,EWS,TFWS,branch,admission_taken,fee_type,target
56,46,OBC,904748,0,0,None,NotAdmitted,None,None_NotAdmitted_None
93,49,OPEN,332911,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
57,88,OPEN,196058,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
96,71,OBC,187876,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
84,76,OBC,709654,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
63,65,SC,637691,0,1,INFT,Admitted,SC,INFT_Admitted_SC
66,52,OPEN,442196,0,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
85,82,OBC,872838,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
99,52,OPEN,361420,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
89,94,OBC,577843,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
53,47,OBC,435639,0,0,None,NotAdmitted,None,None_NotAdmitted_None
51,98,OBC,263004,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
55,88,OPEN,458234,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
91,47,OPEN,398845,1,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
53,66,OPEN,496601,1,0,None,NotAdmitted,None,None_NotAdmitted_None
78,50,OPEN,876684,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
67,46,OPEN,681529,1,0,None,NotAdmitted,None,None_NotAdmitted_None
75,67,OBC,765727,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
93,88,OPEN,165030,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
83,46,ST,801865,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
59,82,OPEN,264404,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
85,61,SC,307397,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
63,79,OBC,579702,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
80,78,OPEN,518779,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
97,67,OPEN,205185,1,1,CMPN,Admitted,TFWS,CMPN_Admitted_TFWS
64,74,OBC,136404,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
57,96,OPEN,155182,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
63,52,ST,395135,0,1,BIOM,Admitted,ST,BIOM_Admitted_ST
72,66,OBC,728889,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
89,88,ST,803023,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
70,80,OPEN,952318,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
65,49,SC,746290,0,1,EXTC,Admitted,SC,EXTC_Admitted_SC
94,57,OBC,445992,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
67,73,SC,944124,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
96,75,OPEN,325461,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
73,91,OBC,923932,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
75,99,OPEN,920217,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
74,60,SC,708434,0,0,EXCS,Admitted,SC,EXCS_Admitted_SC
94,86,OPEN,588195,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
90,74,ST,672285,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
78,99,OPEN,631458,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
64,60,SC,244375,0,0,EXCS,Admitted,SC,EXCS_Admitted_SC
94,56,ST,433887,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
50,61,SC,571068,0,0,EXCS,Admitted,SC,EXCS_Admitted_SC
74,60,OBC,135187,0,1,EXCS,Admitted,OBC,EXCS_Admitted_OBC
56,56,OPEN,820394,1,0,None,NotAdmitted,None,None_NotAdmitted_None
58,52,ST,757253,0,0,BIOM,Admitted,ST,BIOM_Admitted_ST
73,64,OPEN,769113,1,0,None,NotAdmitted,None,None_NotAdmitted_None
50,47,OBC,138090,0,1,None,NotAdmitted,None,None_NotAdmitted_None
93,60,OBC,569984,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
57,74,SC,945844,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
73,89,OPEN,877766,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
60,67,OBC,418174,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
100,72,SC,641797,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
66,95,OPEN,168653,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
57,84,ST,792289,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
84,98,OPEN,491770,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
84,49,OPEN,366186,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
82,64,OPEN,293646,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
54,84,OPEN,399345,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
91,100,ST,847642,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
88,88,OPEN,638304,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
90,45,OPEN,387166,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
77,74,OPEN,856322,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
56,65,OBC,652226,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
58,64,OBC,274750,0,0,EXCS,Admitted,OBC,EXCS_Admitted_OBC
57,50,OPEN,360710,1,0,None,NotAdmitted,None,None_NotAdmitted_None
61,66,OPEN,332320,1,0,None,NotAdmitted,None,None_NotAdmitted_None
83,62,ST,948152,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
82,52,OPEN,467658,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
97,83,OPEN,812165,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
72,76,OPEN,757346,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
73,77,SC,176478,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
86,97,OPEN,505377,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
84,60,OBC,227101,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
93,56,OPEN,456843,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
89,82,ST,816284,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
71,96,OPEN,594527,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
76,78,SC,461417,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
84,58,OPEN,829668,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
50,80,OPEN,856488,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
84,77,SC,688033,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
86,67,OPEN,232283,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
96,94,ST,493445,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
63,89,ST,481116,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
52,46,ST,541758,0,0,None,NotAdmitted,None,None_NotAdmitted_None
50,85,OPEN,201489,0,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
54,65,SC,656107,0,0,INFT,Admitted,SC,INFT_Admitted_SC
75,46,OPEN,147779,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
63,71,ST,837781,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
88,53,OBC,454388,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
76,45,SC,689872,0,0,INFT,Admitted,SC,INFT_Admitted_SC
58,55,OPEN,513166,0,0,None,NotAdmitted,None,None_NotAdmitted_None
64,47,OBC,770533,0,0,BIOM,Admitted,OBC,BIOM_Admitted_OBC
64,96,OPEN,348815,0,1,CMPN,Admitted,TFWS,CMPN_Admitted_TFWS
75,67,SC,944464,0,1,INFT,Admitted,SC,INFT_Admitted_SC
91,70,OPEN,477218,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
62,48,OBC,461417,0,0,BIOM,Admitted,OBC,BIOM_Admitted_OBC
100,62,SC,914468,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
81,99,OBC,354957,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
88,50,OPEN,695644,0,1,EXCS,Admitted,TFWS,EXCS_Admitted_TFWS
98,79,OBC,245364,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
81,66,OPEN,627340,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
53,87,OPEN,406521,0,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
79,59,OPEN,298910,0,1,BIOM,Admitted,TFWS,BIOM_Admitted_TFWS
86,66,OPEN,429963,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
72,81,OPEN,246692,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
88,96,SC,130461,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
94,86,OPEN,907182,0,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
64,56,OPEN,109472,1,0,None,NotAdmitted,None,None_NotAdmitted_None
92,91,ST,955695,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
78,93,OPEN,212036,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
85,86,OBC,288674,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
62,82,SC,387667,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
81,62,ST,786126,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
56,89,SC,989694,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
100,79,SC,690348,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
71,74,SC,371223,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
77,68,OPEN,763759,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
51,86,SC,422870,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
91,74,OPEN,455050,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
94,58,ST,378676,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
55,50,OPEN,575573,0,0,None,NotAdmitted,None,None_NotAdmitted_None
77,47,OBC,143162,0,1,INFT,Admitted,OBC,INFT_Admitted_OBC
77,60,OPEN,373497,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
93,51,SC,212313,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
93,96,OPEN,128477,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
69,58,ST,779930,0,0,EXTC,Admitted,ST,EXTC_Admitted_ST
79,53,SC,186373,0,0,INFT,Admitted,SC,INFT_Admitted_SC
60,59,OPEN,793464,1,0,None,NotAdmitted,None,None_NotAdmitted_None
77,65,SC,818730,0,0,INFT,Admitted,SC,INFT_Admitted_SC
74,79,SC,628839,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
88,46,OBC,168359,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
82,71,OPEN,548096,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
50,46,OPEN,243988,1,0,None,NotAdmitted,None,None_NotAdmitted_None
76,79,OPEN,226150,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
62,62,OPEN,573919,0,0,None,NotAdmitted,None,None_NotAdmitted_None
90,58,ST,796805,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
52,64,OPEN,409780,0,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
88,62,SC,567143,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
55,54,OPEN,916117,1,0,None,NotAdmitted,None,None_NotAdmitted_None
57,69,OBC,937566,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
76,46,SC,451060,0,0,INFT,Admitted,SC,INFT_Admitted_SC
58,69,ST,207967,0,1,INFT,Admitted,ST,INFT_Admitted_ST
86,98,OPEN,194455,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
82,77,OPEN,883123,0,1,EXTC,Admitted,TFWS,EXTC_Admitted_TFWS
100,80,OPEN,561063,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
91,75,OPEN,275405,1,0,INFT,Admitted,EWS,INFT_Admitted_EWS
93,58,OPEN,339646,0,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
73,45,OPEN,289937,0,0,None,NotAdmitted,None,None_NotAdmitted_None
64,90,OPEN,572312,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
81,60,SC,936188,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
81,98,OPEN,485007,0,1,CMPN,Admitted,TFWS,CMPN_Admitted_TFWS
73,90,OPEN,161192,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
90,96,OPEN,291758,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
98,47,SC,935165,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
98,79,ST,335161,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
61,85,OBC,912425,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
88,50,SC,785852,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
51,69,OPEN,776341,0,0,None,NotAdmitted,None,None_NotAdmitted_None
52,57,OBC,386287,0,1,EXTC,Admitted,OBC,EXTC_Admitted_OBC
98,97,OPEN,815637,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
86,78,OPEN,207044,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
98,52,SC,605173,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
66,65,ST,281062,0,0,INFT,Admitted,ST,INFT_Admitted_ST
98,78,OPEN,752694,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
51,48,OBC,556104,0,0,None,NotAdmitted,None,None_NotAdmitted_None
51,69,OBC,169351,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
77,59,OPEN,590588,1,0,BIOM,Admitted,EWS,BIOM_Admitted_EWS
72,48,OPEN,805359,1,0,None,NotAdmitted,None,None_NotAdmitted_None
86,89,OPEN,334085,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
81,56,OPEN,858171,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
82,76,OPEN,598095,1,1,EXTC,Admitted,TFWS,EXTC_Admitted_TFWS
50,76,OPEN,170309,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
68,72,OPEN,786093,1,0,BIOM,Admitted,EWS,BIOM_Admitted_EWS
51,57,SC,219156,0,0,EXTC,Admitted,SC,EXTC_Admitted_SC
93,75,OBC,438144,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
75,58,ST,541848,0,1,INFT,Admitted,ST,INFT_Admitted_ST
81,64,OPEN,121576,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
55,62,SC,627608,0,0,EXCS,Admitted,SC,EXCS_Admitted_SC
81,73,ST,766110,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
53,50,OBC,727290,0,0,BIOM,Admitted,OBC,BIOM_Admitted_OBC
60,76,OPEN,284535,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
66,73,SC,126572,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
87,87,OPEN,380092,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
73,46,OPEN,620114,0,0,None,NotAdmitted,None,None_NotAdmitted_None
54,67,OBC,740816,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
83,63,OBC,794186,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
55,75,OPEN,189051,1,1,EXTC,Admitted,TFWS,EXTC_Admitted_TFWS
71,95,ST,914299,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
60,49,OBC,291303,0,0,BIOM,Admitted,OBC,BIOM_Admitted_OBC
97,63,OPEN,846716,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
65,78,ST,881700,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
82,54,OPEN,303305,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
58,69,ST,406822,0,0,INFT,Admitted,ST,INFT_Admitted_ST
55,46,OBC,993993,0,0,None,NotAdmitted,None,None_NotAdmitted_None
65,55,OPEN,899395,0,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
78,94,SC,557576,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
52,75,OBC,673722,0,1,CMPN,Admitted,OBC,CMPN_Admitted_OBC
69,100,SC,166617,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
85,59,ST,741857,0,1,CMPN,Admitted,ST,CMPN_Admitted_ST
68,53,SC,831672,0,0,EXTC,Admitted,SC,EXTC_Admitted_SC
75,67,OBC,983784,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
52,63,ST,966164,0,0,EXCS,Admitted,ST,EXCS_Admitted_ST
68,53,OBC,610874,0,1,EXTC,Admitted,OBC,EXTC_Admitted_OBC
69,79,OPEN,469792,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
81,65,ST,181494,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
56,53,OPEN,844265,1,0,None,NotAdmitted,None,None_NotAdmitted_None
90,72,SC,701513,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
82,90,ST,182867,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
89,95,SC,268600,0,1,CMPN,Admitted,SC,CMPN_Admitted_SC
88,51,OBC,879957,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
67,60,SC,965404,0,0,EXCS,Admitted,SC,EXCS_Admitted_SC
89,60,OPEN,558818,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
50,77,ST,982693,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
60,48,OPEN,715036,1,0,None,NotAdmitted,None,None_NotAdmitted_None
77,48,OPEN,354265,0,0,BIOM,Admitted,Normal,BIOM_Admitted_Normal
74,83,OPEN,619493,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
99,84,OBC,264404,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
72,61,OBC,753817,0,1,EXCS,Admitted,OBC,EXCS_Admitted_OBC
80,81,SC,584353,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
79,83,OPEN,364395,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
91,96,OPEN,985540,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
84,73,OPEN,782387,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
56,96,OPEN,197382,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
65,80,OBC,579767,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
75,82,OPEN,109583,1,1,EXCS,Admitted,TFWS,EXCS_Admitted_TFWS
97,83,OPEN,674675,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
98,94,OPEN,385248,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
51,81,OPEN,636512,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
50,96,OPEN,947056,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
97,79,OPEN,549274,0,0,CMPN,Admitted,Normal,CMPN_Admitted_Normal
61,51,SC,990752,0,0,BIOM,Admitted,SC,BIOM_Admitted_SC
54,71,SC,327444,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
86,72,OBC,440716,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
81,66,ST,971901,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
58,58,OPEN,964360,1,0,None,NotAdmitted,None,None_NotAdmitted_None
90,51,OBC,566690,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
84,81,ST,366285,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
68,66,OPEN,778710,0,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
97,49,ST,568298,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
65,99,OPEN,957303,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
52,46,OPEN,236149,1,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
69,71,OPEN,670303,1,0,BIOM,Admitted,EWS,BIOM_Admitted_EWS
73,65,SC,271929,0,0,INFT,Admitted,SC,INFT_Admitted_SC
82,98,OBC,856556,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
73,82,SC,290912,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
60,59,OPEN,946334,1,1,CMPN,PartiallyAdmitted,TFWS,CMPN_PartiallyAdmitted_TFWS
98,65,OPEN,105577,1,1,CMPN,Admitted,TFWS,CMPN_Admitted_TFWS
57,54,OPEN,906434,1,0,None,NotAdmitted,None,None_NotAdmitted_None
85,67,OPEN,150711,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
87,100,ST,663739,0,0,CMPN,Admitted,ST,CMPN_Admitted_ST
89,83,OPEN,593027,0,0,EXCS,Admitted,Normal,EXCS_Admitted_Normal
69,49,SC,804463,0,0,EXTC,Admitted,SC,EXTC_Admitted_SC
84,45,SC,521863,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
97,57,OPEN,659119,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
74,65,OBC,349402,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
84,70,OPEN,855664,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
74,94,OPEN,982930,1,0,CMPN,Admitted,EWS,CMPN_Admitted_EWS
78,89,OPEN,344942,0,1,INFT,Admitted,TFWS,INFT_Admitted_TFWS
67,65,OBC,195119,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
95,97,OPEN,953262,0,1,CMPN,Admitted,TFWS,CMPN_Admitted_TFWS
67,62,OBC,442776,0,0,EXCS,Admitted,OBC,EXCS_Admitted_OBC
51,81,OBC,923265,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
84,89,OPEN,867754,0,0,INFT,Admitted,Normal,INFT_Admitted_Normal
65,76,OBC,848224,0,0,CMPN,Admitted,OBC,CMPN_Admitted_OBC
90,80,SC,910830,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
85,61,OPEN,685842,1,0,EXCS,Admitted,EWS,EXCS_Admitted_EWS
82,79,OPEN,150755,0,0,EXTC,Admitted,Normal,EXTC_Admitted_Normal
53,93,SC,253412,0,0,CMPN,Admitted,SC,CMPN_Admitted_SC
82,55,OPEN,951426,1,0,EXTC,Admitted,EWS,EXTC_Admitted_EWS
63,65,OBC,688172,0,0,INFT,Admitted,OBC,INFT_Admitted_OBC
